date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,lag1,lag2,lag3,lag4,lag5,return,return1,return2,return3,return4,return5,EWMA_5,Rate of Change,CCI,ForceIndex
2014-01-29,2225.711,2233.057,2227.781,2219.928,50222716.0,7.926,0.36,2228.224,2212.865,2225.125,58269943.2,54542955.2,53755015.0,2219.855,2215.919,2245.678,2231.889,2243.796,0.357050347883,0.177623821087,-1.32516772218,0.617817463144,-0.530663215373,2.57775177036,2223.60979988,-0.00713745812899,-14.3379631081,-804316796.74
2014-01-30,2223.163,2223.163,2202.45,2200.224,43632304.0,-25.331,-1.14,2222.337,2211.926,2219.148,55727213.6,53676295.2,53676915.6,2227.781,2219.855,2215.919,2245.678,2231.889,-1.13705072447,0.357050347883,0.177623821087,-1.32516772218,0.617817463144,-0.530663215373,2216.55653325,-0.0131901720919,-81.1075548879,-1284491397.46
2014-02-07,2187.343,2212.498,2212.483,2177.117,50459316.0,10.033,0.46,2215.698,2215.325,2215.234,53585542.4,53694911.2,53210749.2,2202.45,2227.781,2219.855,2215.919,2245.678,0.455538150696,-1.13705072447,0.357050347883,0.177623821087,-1.32516772218,0.617817463144,2215.19868883,-0.0147817273892,-92.7536681137,-1674996994.62
2014-02-10,2221.54,2270.194,2267.534,2221.54,83065712.0,55.051,2.49,2226.021,2225.48,2216.678,56129835.2,57945467.2,54049014.6,2212.483,2202.45,2227.781,2219.855,2215.919,2.48819990933,0.455538150696,-1.13705072447,0.357050347883,0.177623821087,-1.32516772218,2232.64379256,0.0232928189162,103.35856701,4287436724.88
2014-02-11,2267.735,2296.516,2285.562,2262.599,99229832.0,18.028,0.8,2239.162,2235.295,2219.057,65321976.0,63837825.6,56822851.0,2267.534,2212.483,2202.45,2227.781,2219.855,0.795048718123,2.48819990933,0.455538150696,-1.13705072447,0.357050347883,0.177623821087,2250.28319504,0.0295996810602,94.9230877634,6520094571.22
2014-02-12,2286.187,2294.317,2291.246,2276.444,76592160.0,5.684,0.25,2251.855,2240.04,2221.523,70595864.8,64432904.0,58085016.2,2285.562,2267.534,2212.483,2202.45,2227.781,0.248691569076,0.795048718123,2.48819990933,0.455538150696,-1.13705072447,0.357050347883,2263.93746336,0.0284879887206,68.0738052625,4860921434.4
2014-02-13,2288.451,2307.474,2279.554,2278.261,96217792.0,-11.692,-0.51,2267.276,2244.806,2224.39,81112962.4,68420088.0,60096553.8,2291.246,2285.562,2267.534,2212.483,2202.45,-0.510290034331,0.248691569076,0.795048718123,2.48819990933,0.455538150696,-1.13705072447,2269.14297557,0.0350082862267,46.862299187,7418776634.37
2014-02-14,2278.4,2295.852,2295.575,2274.429,67082996.0,16.021,0.7,2283.894,2249.796,2228.926,84437698.4,69011620.4,60742239.0,2279.554,2291.246,2285.562,2267.534,2212.483,0.702812918667,-0.510290034331,0.248691569076,0.795048718123,2.48819990933,0.455538150696,2277.95365038,0.0375559947805,38.6203430945,5574060303.63
2014-02-17,2308.791,2315.579,2311.647,2293.552,87831664.0,16.072,0.7,2292.717,2259.369,2234.825,85390888.8,70760362.0,62627683.6,2295.575,2279.554,2291.246,2285.562,2267.534,0.70012959716,0.702812918667,-0.510290034331,0.248691569076,0.795048718123,2.48819990933,2289.18476692,0.0194541735648,113.722660008,3874518194.03
2014-02-18,2310.309,2310.309,2282.442,2276.108,87049744.0,-29.205,-1.26,2292.093,2265.627,2238.304,82954871.2,74138423.6,64277673.4,2311.647,2295.575,2279.554,2291.246,2285.562,-1.26338493723,0.70012959716,0.702812918667,-0.510290034331,0.248691569076,0.795048718123,2286.93717795,-0.00136509094918,-20.6630616872,-271595201.28
2014-02-19,2280.927,2317.42,2308.656,2274.152,99352560.0,26.214,1.15,2295.575,2273.715,2243.29,87506951.2,79051408.0,66797181.6,2282.442,2311.647,2295.575,2279.554,2291.246,1.14850673095,-1.26338493723,0.70012959716,0.702812918667,-0.510290034331,0.248691569076,2294.1767853,0.00759848571476,42.5296248337,1729728069.6
2014-02-20,2314.088,2331.698,2287.436,2286.203,106439536.0,-21.22,-0.92,2297.151,2282.214,2247.07,89551300.0,85332131.2,69504213.2,2308.656,2282.442,2311.647,2295.575,2279.554,-0.919149496504,1.14850673095,-1.26338493723,0.70012959716,0.702812918667,-0.510290034331,2291.92985687,0.00345769391732,36.550461326,838956422.752
2014-02-21,2284.03,2287.869,2264.294,2250.652,76368992.0,-23.142,-1.01,2290.895,2287.395,2251.36,91408499.2,87923098.8,70809005.0,2287.436,2308.656,2282.442,2311.647,2295.575,-1.01170043665,-0.919149496504,1.14850673095,-1.26338493723,0.70012959716,0.702812918667,2282.71790458,-0.0136266512747,-109.174288851,-2388898438.75
